title,clinicalBasic,articleType,authorName,linkToFullText,articleYear,analyst,NumberWordsInTitle,NumberWordsInArticle,soFarAsIsKnownIKnow,isItTooMuchToAssumeThat,appear,appearToMe,appears,appearsToMe,believing,ICannotStateWithCertainty,WeCannotExclude,ICannotHelpThinking,doNotAppear,doesNotAppear,doesNotSeem,doNotSeem,Expected,IamWeareInclinedToThinkOneIsTemptedToThink,IAmNotAware,IAmNotQuiteSure,IBelieve,ItIsGenerallyUsuallyBelieved,IConsider,IWeDoNotEvenKnowWhether,IDoNotSuppose,IDoNotThink ,ToDoubt,IFeelConfident,IfIRememberRightly,IQuiteImagine,IWish ,I/WeHope,WeNowWonder,IHoldThat,IThink,ITrust,oneHopes,doesNotSuggest,suggests,suggesting,supposeItIsSupposed,supposing,thereIsReasonToDoubt,IVentureToThink,weBelieve ,weAreJustifiedInAssumingThat,weAreJustifiedInBelievingThat,weAreJustifiedInReckoningThat,weAreSeldomSuspicious,weHaveThereforeReasonToHope,weThink,weDoNotBelieveThat,weHaveEveryReasonToBelieve,factsAreSufficientToInduceUsToBelieve,ledMeToBelieve,looks,thereIsReasonToBelieve,seem,seems,AreThoughtToBe,ItIsHoped,TOTLexicalPACLIsInArticleVerbsButNotModalVerbs,accordingToMyView,accordingToHypothesis,almostCertainCertainly,apparently,apparent,asInOpinion,believed,thereIsReasonForTheBelief,Conceivably,doubtIAmInDoubtThereIsSomeDoubt,doubtfulSuspected,veryDoubtful,forMyOwnPart,fromOwnExperienceSoFarAsMyExperienceGoes,greatProbability,impression,Improbably,inAppearance,inExperience,inMyOwnOurOpinionJudgementBelief/view,IAmFurtherOfOpinionThat,InTheHopeThat,moreProbably,ItIsMyView,itIsNotImprobableThat,mostImprobable,itIsReasonableToSuppose/Assume,itIsPerhapsReasonableToSuppose,itIsDifficult Too ToSee/thinkHow/of,ToMyKnowledge,likely,lessLikely,likelihood,muchMoreLikely,notMuchEvidence,moreLikely,moreProbable,mostLikely,MyPointIsThat,OpinionIs,noDirectEvidence,notQuiteClearToMe,nothingActuallyCertainIs,QuiteObvious,notLikely,notVeryLikely,itIsImpossibleToBeSure,myOwnOpinion,inOurExperience,perhaps,personally,possibility,possible,quitePossible,possibly,presumably,prettyCertainly,Probability,soFarAsIsKnown,probable,extremelyProbable,moreThanProbable,highlyProbable,veryProbable,probably,quiteNoCertain,seemingly,speakingFormyself,supposition,supposed,suspicionConjecture,thereIsLittleEvidence,thereIsNoEvidenceWeHaveNoEvidence,toMindtoOurMinds,unlikely ,notUnlikely,veryImprobable,veryUnlikely,uncertainty,unclear ,TOTLexicalPACLIsinArticleNonVerbs,can,may,mayNot,must,mustNot,TOTLexicalPACLIsModalVerbs,could,couldNot,couldNo,might,mightNot,should,shouldNot,would,wouldNo,wouldNot,ought,oughtNot,TOTMorpho-syntacticPACLIsInArticleConditionalMood ,epistemic future,TOTEpistemicFutureEU,asThough,asIf,whether,if_zuko,IFCLAUSESPeriodoIpoteticoThanPrimoSecondoTerzoGrado,ImplicitIfClauses,TOTMorpho-syntacticPACLIsInArticleIfAsIfWhether
A clinical lecture on maximal and minimal blood pressures and their significance.,clinical,original,J. F. Halls Dally,goo.gl/g2jLa,1913,Andrzej-Adriana,8,3810,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,4,9,0,0,0,13,0,0,0,1,0,6,1,13,0,1,0,0,22,0,0,0,0,0,0,7,4,11
A method of operating for radical cure of inguinal hernia.,clinical,original,W.T.F. Davies,asif,1913,Ilaria-Davide,10,1142,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,2
A successful case of caesaean section  with remarks.,clinical,original,T. Radford,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2487966/pdf/provmedsurgj00348-0008.pdf,1849,Carla-Cinzia,8,5074,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,3,0,1,0,5,0,1,0,1,0,5,0,2,0,1,3,1,14,0,0,0,0,1,0,6,0,7
A note on some cases mistaken for small-pox during the recent epidemic.,clinical,original ,Charles Fraser  M. B.  Ch. B.,http://goo.gl/VbvFM,1902,tutti,12,679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Tropical fever.,clinical,original,G. Sherman-Bigg,goo.gl/spJvj,1882,Ilaria-Davide,3,750,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,12,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Accuracy of cervical cytology screening.,clinical,correspondence ,J. R. Hughes,http://goo.gl/TFIhn,1988,Ramona-Luciana,5,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2
Accuracy of liquid based versus conventional cytology: overall results of new technologies for cervical cancer screening randomized controlled trial.,clinical,original ,G. Ronco  J. Cuzick  P. Pierotti  M.P. Cariaggi  P. Dalla Palma  C. Naldoni  B. Ghiringhello  P. Giorgi-Rossi  D. Minucci  F. Parisio  A. Pojer  M.L.Sciboni  C. Sintoni  M. Zorzi  N. Segnan  M. Confortini.  ,http://goo.gl/ReRAA,2007,Carla-Cinzia,19,3443,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,6,0,0,0,0,0,0,1,0,1
Action of nicotine on the heart.,basic,original,J.H.Burn  M.J.Rand,http://goo.gl/7V9gl,1958,Carla-Cinzia,6,1466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,0,0,0,5,0,0,0,4,0,1,0,2,0,1,0,0,8,0,0,0,1,0,0,2,0,3
Aetiology of Physiological Jaundice of the Newborn,basic,review,Alexander S. Wiener  M. D.,goo.gl/h1CYz,1951,tutti,7,1212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,7,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,3,1,1,0,0,0,0,1,0,1
Amputation of the foot at the ankle-joint  illustrated by a case,clinical,original,H. Thompson,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2439531/pdf/assomedj00216-0007.pdf,1856,Ilaria-Davide,11,1928,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,0,1,0,9,0,0,0,1,0,4,0,3,0,0,2,0,10,0,0,0,0,0,0,1,0,1
An address delivered at the opening of the subsection of diseases of the throat.,clinical,original,G. Johnson,http://goo.gl/9rzD2,1881,Mina-Gabriele,14,1051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
An address on the treatment of chronic degenerative lesions of the heart and aorta.,clinical,original,J. Barr,goo.gl/fRHIi,1909,Mina-Gabriele,14,5477,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,23,0,3,0,36,0,0,0,5,0,21,0,8,0,0,0,0,34,0,0,0,0,1,0,15,0,16
Appendicitis: an analysis of sixty-eight cases  with comments and a summary of the conditions requiring operation.,clinical,original,G. Barling,goo.gl/ZZstW,1893,Ramona-Luciana,16,3897,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,1,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,6,27,2,0,0,35,0,0,0,1,0,17,0,6,0,1,1,0,26,0,0,0,0,1,0,9,0,10
Benign Intracranical Hypertension.,clinical,review,leading article,http://goo.gl/1dIAI,1970,Ramona-Luciana,3,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,6,0,0,0,1,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Bile duct stones and laparoscopic cholecystectomy. Selective intraoperative cholangiography is the best strategy.,clinical,review,DAVID SCOTT-COOMBES  JERE N THOMPSON,http://goo.gl/2haFE,1991,Carla-Cinzia,13,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,7,0,0,0,0,0,2,0,2,0,0,0,0,4,0,0,1,0,0,0,3,0,4
Bismuth therapy in jaundice during antisyphilitic treatment.,clinical,original,J.R. Forbes,http://goo.gl/rMDmR,1944,Andrzej-Adriana,7,1215,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,2,0,0,0,2,0,0,0,2,0,1,0,1,0,1,0,0,5,0,0,0,0,1,0,0,0,1
Bronchography without cocaine.,clinical,original,E.C.O. Jewesbury,http://goo.gl/dwepH,1939,Mina-Gabriele,3,1038,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Case of amputation of the arm  performed under the influence of Aether: abnormal distribution of the brachial artery.,clinical,original,C. Anderton,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2487984/pdf/provmedsurgj00406-0010a.pdf,1847,Andrzej-Adriana,18,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
Case of catalepsy with transposition of the senses.,clinical,,D. Caen,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2489748/pdf/provmedsurgj00897-0010.pdf,1842,Andrzej-Adriana,8,1709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0
Case of renal calculus.,clinical,original,W.H. Day,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2325098/pdf/brmedj05977-0003.pdf,1863,Ramona-Luciana,4,1234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1
Case of tubal foetation.,clinical,original,J. Morley,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2431799/pdf/provmedsurgj00039-0010.pdf,1851,Andrzej-Adriana,4,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,1
Clinical lecture on the treatment of cancer of the breast by excision.,clinical,original,WM.S. Savory,goo.gl/KB2Lv,1870,Carla-Cinzia,8,3478,0,0,4,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,19,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,8,29,0,0,0,37,4,0,0,0,0,8,0,6,0,1,0,0,19,0,0,0,0,2,0,3,0,5
